Row_ID,P1,P2,P3,P4,P5,P6
1009,0.8449669,0.09478178,0.6940013,0.1251913,1.593128,0.08665088
1072,0.8866405,0.094523445,0.6983718,0.12933242,1.6360482,0.08423497
109,0.87613565,0.095485926,0.7166055,0.08246698,1.806939,0.09145964
1109,0.8529162,0.08705211,0.7192833,0.117993176,1.8435247,0.078869425
1124,0.9346886,0.081195086,0.6980052,0.21248084,1.8429956,0.0824623
1150,0.89178294,0.08841471,0.7017009,0.16000351,1.8437071,0.08281432
1163,0.976733,0.09142699,0.67708284,0.18108347,1.7550876,0.08656129
1197,0.89574796,0.09635963,0.7112772,0.11362106,1.8435382,0.08621014
180,0.8396535,0.07389597,0.700982,0.23120368,1.6830577,0.076215886
188,0.85340047,0.096034765,0.68528324,0.16966197,1.4373187,0.07220798
232,0.9716797,0.09403358,0.6883357,0.19810508,1.586121,0.07352254
238,0.8616364,0.09238632,0.70275664,0.12834123,1.5935864,0.07649504
267,0.8568078,0.0779014,0.69468236,0.22152685,1.6318307,0.071707524
286,0.8841833,0.094995424,0.7064076,0.13407832,1.6799027,0.07984423
314,1.040208,0.07937385,0.71031135,0.14324218,1.8399146,0.078075826
35,0.8885689,0.09787048,0.70073605,0.14361568,1.8339301,0.08402738
382,0.94086164,0.087641254,0.6789703,0.21243387,1.7840976,0.08272503
393,1.0363966,0.081611104,0.67978996,0.247929,1.8411515,0.08251645
455,0.9387791,0.08632015,0.6929695,0.19302155,1.82076,0.08591317
480,0.8763141,0.09338207,0.70846117,0.13344751,1.6577276,0.08451974
489,0.8804405,0.09168477,0.6790033,0.18483989,1.3380811,0.07095019
514,0.8516194,0.082316406,0.686743,0.22171153,1.6618758,0.06814723
517,0.8902949,0.090170905,0.6927572,0.14584929,1.7901524,0.085739695
520,0.8624321,0.09571043,0.67196506,0.19386889,1.390406,0.06133754
57,0.8434076,0.069576554,0.7241289,0.17158094,1.8236864,0.078303374
59,0.8603574,0.095441274,0.70890385,0.09284087,1.7292616,0.08836094
595,0.9712244,0.092000626,0.7163425,0.14061582,1.8361748,0.08459015
605,0.86762965,0.09546014,0.69397575,0.16811033,1.6746802,0.069108516
635,0.87050617,0.098543994,0.69086206,0.13901985,1.7116193,0.074201226
658,0.86458325,0.093356594,0.6801677,0.122264236,1.3173828,0.0781934
743,0.8711278,0.084403485,0.71022373,0.09004831,1.7854662,0.088528
758,0.85846627,0.093455344,0.6766034,0.15078357,1.5387526,0.08528782
80,0.87492156,0.09404418,0.69677025,0.14640065,1.3596475,0.0760944
816,0.8656876,0.095312774,0.69005746,0.16923322,1.6354209,0.072809644
823,0.9069903,0.090255104,0.70848644,0.14450967,1.8539519,0.08470763
827,0.8636988,0.092100315,0.6965169,0.16250661,1.7076968,0.08884959
913,0.9633974,0.09131427,0.6881881,0.19480759,1.8365736,0.07409068
924,0.9281689,0.09612523,0.70997083,0.12483876,1.8625677,0.0844586
931,0.8955779,0.09311496,0.7112034,0.12612352,1.8451779,0.09008015
956,0.9011177,0.097509705,0.69344646,0.094098456,1.811382,0.093759224
998,1.0535145,0.08345236,0.6866579,0.21194385,1.8582726,0.08635994
