P1,P2,P3,P4,P5,P6,WarpMax,T_Tip_Peel,success_prob,WarpMax_norm,T_Tip_Peel_norm,Final_Score
1.0205641220031927,0.08970666824013775,0.6077942295251687,0.10538805420340516,1.5831182957172065,0.0789903793594398,0.12332147,33.51417,0.70607746,0.0,0.4925932,0.22989044
1.0205052716254632,0.08970185128885498,0.6077992232908259,0.1056125947705092,1.5829633710105095,0.07899352026146672,0.12332147,33.517174,0.70607746,0.0,0.49326006,0.22972372
1.0206378501181699,0.08971197352306365,0.6077956035922164,0.10561025080332843,1.583014051262064,0.07899868260495614,0.12332147,33.517174,0.70607746,0.0,0.49326006,0.22972372
1.0205927183987664,0.08970663752858547,0.6077332791272291,0.10566004202975837,1.58301628144043,0.07901712146637814,0.12332147,33.517174,0.70607746,0.0,0.49326006,0.22972372
1.020699266850813,0.08970896977756644,0.6078023952288618,0.10560489947554397,1.5828621868635824,0.07899635051085503,0.12332147,33.517174,0.70607746,0.0,0.49326006,0.22972372
1.0205881366884142,0.08970865182350449,0.6078174160442408,0.10554860254503821,1.5829383161512531,0.07899423195178246,0.12332147,33.517296,0.70607746,0.0,0.49328715,0.22971694
1.0205466149462614,0.08970317016454857,0.607819842980705,0.10554525589442122,1.582971951492038,0.0790156804076478,0.12332147,33.517296,0.70607746,0.0,0.49328715,0.22971694
1.020634876714668,0.0897033867059023,0.607795062488844,0.10547036172497057,1.5831799074820054,0.07899640417078531,0.12332147,33.517296,0.70607746,0.0,0.49328715,0.22971694
1.0204934092792046,0.08970538987487452,0.6078059503728509,0.10543730999396143,1.5828015487063045,0.07899694017022998,0.12332147,33.517296,0.70607746,0.0,0.49328715,0.22971694
1.02061207837721,0.08971770367180443,0.6078121269600925,0.10549882497923903,1.5829289331959542,0.07898577211240593,0.12332147,33.517296,0.70607746,0.0,0.49328715,0.22971694
